"","playing_for","L_ht_L","L_ht_W","W_ht_W","W_ht_L","D_ht_W","L_ht_D","D_ht_L","W_ht_D","%","P"
"1","Brisbane Lions",2,1,13,1,0,0,0,0,124.89,56
"2","Port Adelaide",3,0,13,1,0,0,0,0,136.36,55
"3","Richmond",4,0,11,1,0,0,1,0,129.86,48
"4","West Coast",3,1,10,2,0,1,0,0,116.99,47
"5","Geelong",4,1,8,4,0,0,0,0,136.85,45
"6","St Kilda",5,2,9,1,0,0,0,0,116.25,41
"7","Western Bulldogs",5,2,8,1,0,0,0,1,106.67,41
"8","Melbourne",6,2,8,0,0,0,0,1,107.81,38
"9","Collingwood",6,0,6,3,1,1,0,0,109.53,36
"10","Greater Western Sydney",7,0,5,2,0,2,0,1,95.63,30
"11","Carlton",7,3,5,2,0,0,0,0,94.34,29
"12","Fremantle",9,1,6,1,0,0,0,0,93.72,28
"13","Gold Coast",9,2,5,0,1,0,0,0,90.63,25
"14","Essendon",9,1,5,1,0,0,1,0,79.16,25
"15","Hawthorn",10,2,5,0,0,0,0,0,84.09,22
"16","Sydney",9,3,4,1,0,0,0,0,82.64,22
"17","Adelaide",13,1,3,0,0,0,0,0,64.38,13
"18","North Melbourne",14,0,1,1,0,0,0,1,71.2,11
