"","playing_for","W","D","L","GD","P"
"1","West Coast",13,0,4,29,39
"2","Port Adelaide",12,2,3,41,38
"3","Geelong",12,0,5,53,36
"4","Richmond",11,2,4,40,35
"5","Brisbane Lions",11,1,5,26,34
"6","St Kilda",11,0,6,29,33
"7","Melbourne",9,1,7,13,28
"8","Western Bulldogs",9,0,8,10,27
"9","Collingwood",8,2,7,8,26
"10","Essendon",7,3,7,-36,24
"11","Fremantle",7,1,9,-4,22
"12","Greater Western Sydney",7,1,9,-6,22
"13","Gold Coast",5,1,11,-18,16
"14","Sydney",4,3,10,-25,15
"15","Hawthorn",4,2,11,-28,14
"16","North Melbourne",4,2,11,-46,14
"17","Carlton",3,4,10,-12,13
"18","Adelaide",3,1,13,-74,10
