team,nickname,letter_c,bg_c,font_size
Carlton,BLUES,#BBBFC0,#051829,67
Sydney,SWAN,white,#ED171F,67
Essendon,BOMBER,#CC2031,black,60
Geelong,CATS,white,#002B5C,67
Melbourne,DEMON,#CD1A2E,#07092D,64
St Kilda,SAINT,red,black,70
Collingwood,PIES,white,black,67
Adelaide,CROW,#FED102,#004B8D,67
Hawthorn,HAWK,#FABF16,#4D2004,69
West Coast,EAGLE,#F3AB00,#002D88,67
Western Bulldogs,DOGS,white,#1A529E,67
North Melbourne,ROOS,white,#13388F,67
Richmond,TIGER,#FFD300,black,67
Fremantle,DOCKER,white,#250553,60
Brisbane Lions,LION,#FDBF57,#A50044,67
Port Adelaide,POWER,#10C7DD,black,64
Gold Coast,SUNS,#FFE010,#E92A1F,67
Greater Western Sydney,GIANT,white,#F47A1A,68
