"id","formattedAddress","latitude","longitude","venue"
1,"Brunton Ave, Richmond VIC 3002, Australia",-37.8199669,144.9834493,"M.C.G."
2,"Docklands VIC 3008, Australia",-37.8190118,144.9465764,"Docklands"
3,"War Memorial Dr, North Adelaide SA 5006, Australia",-34.9155163,138.5961146,"Adelaide Oval"
4,"Mulgrave Rd, Westcourt QLD 4870, Australia",-16.9357526,145.7489988,"Cazaly's Stadium"
5,"Manuka Cir, Griffith ACT 2603, Australia",-35.318133,149.134662,"Manuka Oval"
6,"333 Victoria Park Dr, Burswood WA 6100, Australia",-31.9511708,115.8890146,"Perth Stadium"
7,"Vulture St, Woolloongabba QLD 4102, Australia",-27.4858376,153.0380853,"Gabba"
8,"SCG Gate 1, Driver Ave, Moore Park NSW 2021, Australia",-33.8888789,151.2270526,"S.C.G."
9,"15 Derwent St, Bellerive TAS 7018, Australia",-42.8772963,147.3740128,"Bellerive Oval"
10,"370 Moorabool St, South Geelong VIC 3220, Australia",-38.1579763,144.3545702,"Kardinia Park"
11,"1 Showground Rd, Sydney Olympic Park NSW 2127, Australia",-33.8432512,151.0673124,"Sydney Showground"
12,"2 Invermay Rd, Invermay TAS 7248, Australia",-41.4260369,147.1389961,"York Park"
13,"725 Creswick Rd, Wendouree VIC 3355, Australia",-37.5386209,143.8479833,"Eureka Stadium"
14,"The Gap NT 0870, Australia",-23.709039,133.8750826,"Traeger Park"
15,"Nerang Broadbeach Rd, Carrara QLD 4211, Australia",-28.0063121,153.3670875,"Carrara"
16,"205 Abala Rd, Marrara NT 0812, Australia",-12.4004666,130.8835367,"Marrara Oval"
17,"Sporting Dr, Condon QLD 4815, Australia",-19.3178115,146.7317297,"Riverway Stadium"
