"","team","W","L","%","P"
"1","Geelong",5,0,138.028169014085,20
"2","North Melbourne",3,0,123.636363636364,12
"3","Collingwood",3,4,108.566721581549,12
"4","Essendon",3,3,91.0958904109589,12
"5","West Coast",2,2,115.902140672783,8
"6","Carlton",2,4,81.726618705036,8
"7","St Kilda",2,3,75.3937007874016,8
"8","Hawthorn",1,0,131.111111111111,4
"9","Brisbane Lions",1,0,115.151515151515,4
"10","Sydney",1,2,110.971786833856,4
"11","Adelaide",1,3,106.086956521739,4
"12","Port Adelaide",1,1,105.161290322581,4
"13","Richmond",0,3,74.1545893719807,0
