"","Team","Max Interest","Date"
"1","Western Bulldogs",100,"25/09/2016"
"2","Richmond Football Club",90,"24/09/2017"
"3","Collingwood Football Club",85,"23/09/2018"
"4","West Coast Eagles",77,"23/09/2018"
"5","Greater Western Sydney Giants",70,"22/09/2019"
"6","Adelaide Football Club",56,"24/09/2017"
"7","Essendon Football Club",53,"10/01/2016"
"8","Hawthorn Football Club",43,"27/09/2015"
"9","Sydney Swans",41,"25/09/2016"
"10","Geelong Football Club",36,"15/09/2019"
"11","Fremantle Football Club",35,"20/09/2015"
"12","Melbourne Football Club",32,"16/09/2018"
"13","Carlton Football Club",25,"2/06/2019"
"14","North Melbourne Football Club",22,"13/09/2015"
"15","Brisbane Lions",22,"8/09/2019"
"16","Port Adelaide Football Club",15,"3/09/2017"
"17","St Kilda Football Club",13,"24/03/2019"
"18","Gold Coast Football Club",7,"28/06/2015"
