"Round","Home.Team","Home.Points","Away.Team","Away.Points"
"R1","GWS",112,"Essendon",40
"R1","Fremantle",141,"North Melbourne",59
"R3","Melbourne",112,"Essendon",130
"R6","Geelong",104,"West Coast",46
"R9","GWS",138,"Carlton",45
"R10","Richmond",73,"Essendon",50
"R11","Essendon",74,"Carlton",33
"R14","West Coast",106,"Essendon",71
"R16","Gold Coast",58,"Richmond",150
"R16","Fremantle",31,"West Coast",122
"R20","Collingwood",120,"Gold Coast",51
"R21","GWS",29,"Hawthorn",85
"R21","Brisbane Lions",144,"Gold Coast",53
"R21","Essendon",33,"Footscray",137
"R21","Geelong",69,"North Melbourne",14
"R22","GWS",65,"Footscray",126
"GF","Richmond",114,"GWS",25
